Offizieller_Name;streetAddress;postalCode;addressLocality;Telefon;Email;Fax;Internet;Handelsregister;Rechtsform;Hauptsitz;Firmengründung;Inhaber;Geschäftsführung;Branche;Unternehmensgegendstand;Umsatzsteuer-Id;Mitarbeiter;Stammkapital
KaTe GmbH;Daimlerstrasse 10;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 100686, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2012;n/a;n/a;n/a;n/a;n/a;n/a;n/a
LAUER Industrieanlagen und Rohrleitungsbau GmbH;Röntgenstrasse 3;66763;Dillingen;+49 (06831) 7660;info@lauer-dillingen.de;+49 (06831) 766138;www.lauer-dillingen.de;HRB 25563, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Dampfkessel-Herstellung;n/a;n/a;n/a;n/a
Loewe Messebau Dillingen GmbH;Freiburger Strasse 2;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 18565, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2010;n/a;n/a;n/a;n/a;n/a;n/a;25.000 Euro
MATERIO green GmbH;Trierer Strasse 69;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 100743, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2013;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Medizinisches Versorgungszentrum Friedrich-Ebert-Strasse 40, Dillingen GmbH;Friedrich-Ebert-Strasse 40;66763;Dillingen;+49 (06831) 703933;n/a;n/a;n/a;HRB 16625, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
MSG Mineralstoffgesellschaft Saar mbH;Werkstrasse 1;66763;Dillingen;+49 (06831) 470;n/a;n/a;n/a;HRB 17148, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Opticland Die Brille GmbH;Hüttenwerkstrasse 19;66763;Dillingen;+49 (06831) 707557;dillingen@diebrillesaar.de;+49 (06831) 707557;www.diebrillesaar.de;HRB 26086, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Augenoptiker;n/a;n/a;n/a;n/a
Performetrix Germany UG (haftungsbeschränkt);Göbenstrasse 19;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19361, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;4.000 Euro
Pink + Wagner GmbH Stahlservice Dillingen;Dieselstrasse 46;66763;Dillingen;+49 (06831) 768790;s.pink@pinkundwagner.de;+49 (06831) 7687968;www.pinkundwagner.de;HRB 24394, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Herstellung von Maschinen für die Metallerzeugung und für Walzwerke sowie Giessmaschinen;n/a;n/a;n/a;n/a
Prestige + More PM GmbH;Stummstrasse 13a;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19282, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;25.000 Euro
RAND + WOLL Rechtsanwalt Steuerberater Partnerschaft;Wiesbadener Strasse 1;66763;Dillingen;+49 (06831) 9730 0;n/a;n/a;n/a;PR 87, Amtsgericht Saarbrücken;n/a;Dillingen;n/a;n/a;n/a;Steuerberater und Steuerberatungsgesellschaften;n/a;n/a;n/a;n/a
Raupenfahrzeuge Nordenham GmbH;Werkstrasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 100744, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2013;n/a;n/a;n/a;n/a;n/a;n/a;n/a
SPI Immobilien UG (haftungsbeschränkt);Trierer Strasse 55;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19156, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;2.000 Euro
Stadtwerke Dillingen/Saar Netzgesellschaft mbH;Feldstrasse 40;66763;Dillingen;+49 (06831) 97470;n/a;n/a;n/a;HRB 17782, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Toscana-Tours Reiseorganisations GmbH;Hüttenwerkstrasse 28;66763;Dillingen;+49 (06831) 46676;info@toscana-tours.de;+49 (06831) 42959;www.toscana-tours.de;HRB 24904, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Reisebüros und Reiseveranstalter;n/a;n/a;n/a;n/a
AbscheiderWerkstatt.de GmbH + Co. KG - Montage von Ölabscheideranlagen;Joseph-Roederer-Strasse 14;66763;Dillingen;+49 (06831) 9665950;info@abscheiderwerkstatt.de;+49 (06831) 9665951;www.abscheiderwerkstatt.de;n/a;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Herstellung von Armaturen;n/a;n/a;n/a;n/a
BMS Baustoffhandelsgesellschaft mbH + Co.;Hemmersdorfer Strasse 14;66763;Dillingen;+49 (06831) 97320;info@bms-baustoffe.de;+49 (06831) 973299;www.bms-baustoffe.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Grosshandel mit Baustoffen und Bauelementen aus Mineralien;n/a;n/a;n/a;n/a
Chemegra chemische + mechanische Granulatverarbeitung GmbH + Co. KG;Primsstrasse 35;66763;Dillingen;+49 (06831) 703911;info@chemegra.de;+49 (06831) 702816;www.chemegra.de;n/a;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen (Ortsteil Diefflen);n/a;n/a;n/a;Handelsvermittlung von technischen Chemikalien, Rohdrogen, Kautschuk, Kunststoff und Düngemittel;n/a;n/a;n/a;n/a
China Restaurant Xi Yue UG (haftungsbeschränkt);Marktstrasse 11;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 17546, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;n/a;n/a;n/a;Restaurants;n/a;n/a;n/a;n/a
Christ Weinhandels GmbH;Röntgenstrasse 2;66763;Dillingen;+49 (05725) 94030;info@christ-weine.de;+49 (05725) 940315;www.christ-weine.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Grosshandel mit Wein, Sekt und Spirituosen;n/a;n/a;n/a;n/a
Dillinger Projekt GmbH;Werkstrasse 1;66763;Dillingen;+49 (06831) 470;info@dillinger.biz;+49 (06831) 472212;www.dillinger.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Ingenieurbüros für bautechnische Gesamtplanung;n/a;n/a;n/a;n/a
Familie Seiwert Vermögensverwaltung UG (haftungsbeschränkt);Am Fischerberg 17-19;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 17549, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;n/a;n/a;n/a;Öffentliche Verwaltung;n/a;n/a;n/a;n/a
F+W Partner für Fort- und Weiterbildung GmbH;De Lenoncourtstrasse 5;66763;Dillingen;+49 (06831) 74869;info@f-und-w.de;+49 (06831) 72964;www.f-und-w.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Erwachsenenbildung und Unterricht;n/a;n/a;n/a;n/a
Gebrüder Arweiler GmbH + Co. KG;Mittelstrasse 2a;66763;Dillingen;+49 (06831) 90940;mail@gebr-arweiler.de;+49 (06831) 909440;www.gebr-arweiler.de;n/a;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Gewinnung von Kies, Sand, Ton und Kaolin;n/a;n/a;n/a;n/a
Geschäftsführungsgesellschaft CHEMEGRA chemische + mechanische Granulatverarbeitung mbH;Primsstrasse 35;66763;Dillingen;+49 (06831) 986100;n/a;n/a;n/a;HRB 24612, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen (Ortsteil Diefflen);n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;DE137907203;n/a;n/a
Glas Leuchtle GmbH + Co. KG;Feldstrasse 32;66763;Dillingen;+49 (06831) 97890;r.leuchtle@glas-leuchtle.de;+49 (06831) 71940;www.glas-leuchtle.de;n/a;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Grosshandel mit Flachglas;n/a;n/a;n/a;n/a
HIB Dipl.-Ingenieur Hettinger Ingenieurbüro für Bauwesen GmbH;Merziger Strasse 82;66763;Dillingen;+49 (06831) 487690;info@hib-saar.de;+49 (06831) 4676910;www.hib-saar.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Ingenieurbüros für bautechnische Gesamtplanung;n/a;n/a;n/a;n/a
Industriedienstleistungen Gross GmbH;Theresienstrasse 33;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 16763, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Dienstleistungen a.n.g.;n/a;n/a;n/a;n/a
Josef Rupp GmbH + Co. KG Sand- + Kiesbaggerei;Berliner Strasse 3;66763;Dillingen;+49 (06831) 7571;info@kies-rupp.de;+49 (06831) 72486;www.kies-rupp.de;n/a;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Gewinnung von Kies, Sand, Ton und Kaolin;n/a;n/a;n/a;n/a
Josef Rupp GmbH Sand- + Kiesbaggerei Vertriebsgesellschaft;Berliner Strasse 3;66763;Dillingen;+49 (06831) 7571;info@kies-rupp.de;+49 (06831) 72486;www.kies-rupp.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Grosshandel mit Baustoffen und Bauelementen aus Mineralien;n/a;n/a;n/a;n/a
KEB gGmbH -Arbeit, Bildung, Zukunft;Friedrich-Ebert-Strasse 14;66763;Dillingen;+49 (06831) 76020;info@keb-dillingen.de;+49 (06831) 760248;www.keb-dillingen.de;n/a;gGmbH: Gemeinnützige Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Berufsakademien, Fachakademien, Schulen des Gesundheitswesens;n/a;n/a;n/a;n/a
Kramp Fussorthopädie GmbH;Kelkelstrasse 28;66763;Dillingen;+49 (06831) 501500;info@kramp-gutzufuss.de;+49 (06831) 5015015;www.kramp-gutzufuss.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Herstellung von orthopädischen Erzeugnissen;n/a;n/a;n/a;n/a
KS Zahntechnik GmbH;Stettiner Strasse 20;66763;Dillingen;+49 (06831) 976266;info@kz-zahntechnik.de;+49 (06831) 976267;www.kz-zahntechnik.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Zahntechnik und Dentallabore;n/a;n/a;n/a;n/a
Lauer Geschäftsführungsgesellschaft mbH;Brühlstrasse 4;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 16756, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
Malburg Geschäftsführungsgesellschaft mbH;Brückenstrasse 60;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 16609, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Börsen (Effektenbörsen und Warenbörsen);n/a;n/a;n/a;n/a
Malburg + Partner, Steuerberater;Brückenstrasse 60;66763;Dillingen;+49 (06831) 97990;info@malburgpartner.de;+49 (06831) 979912;www.malburgpartner.de;PR 13, Amtsgericht Saarbrücken;n/a;Dillingen;n/a;n/a;n/a;Steuerberater und Steuerberatungsgesellschaften;n/a;n/a;n/a;n/a
Motorrad A. Klein GmbH;Pachtener Strasse 32;66763;Dillingen;+49 (06831) 73140;info@yamaha-klein.de;+49 (06831) 701121;www.yamaha-klein.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Motorradhandel + Motorradwerkstätten, Handel mit Motorradteilen und Motorradzubehör;n/a;n/a;n/a;n/a
Peter Fabry Textilgrosshandel GmbH;Weinligstrasse 36;66763;Dillingen;+49 (06831) 94890;info@peterfabry-mode.de;+49 (06831) 948950;www.peterfabry-mode.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Grosshandel mit Bekleidung und Schuhen;n/a;n/a;n/a;n/a
Pink + Wagner GmbH Stahlservice;Gewerbegebiet Nord;66763;Dillingen;+49 (06831) 768790;u.wagner@pinkundwagner.de;+49 (06831) 7687968;www.pinkundwagner.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Herstellung von Maschinen für die Metallerzeugung und für Walzwerke sowie Giessmaschinen;n/a;n/a;n/a;n/a
Q 4 Media AG;Jakobstrasse 1a;66763;Dillingen;+49 (06831) 768850;info@q4m.de;+49 (06831) 7688510;www.q4m.de;n/a;AG: Aktiengesellschaft;Dillingen;n/a;n/a;n/a;Werbung und Marketing;n/a;n/a;n/a;n/a
Sellmas Marketing- und Vertriebsgesellschaft UG (haftungsbeschränkt);Buchenhain 35;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 18280, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;n/a;n/a;n/a;Werbung und Marketing;n/a;n/a;n/a;n/a
SLE EVENT COMPANY Erlebnismanagement + Technikservice GmbH;Kelkelstrasse 36;66763;Dillingen;+49 (06831) 4877410;info@lichtundton.de;+49 (06831) 4877420;www.lichtundton.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Sonstige wirtschaftliche Dienstleistungen;n/a;n/a;n/a;n/a
SMZ Stahl-Sondermaschinenbau Zerspanungstechnik GmbH;Dieselstrasse 1;66763;Dillingen;+49 (06831) 706221;info@smzgmbh.de;+49 (06831) 706282;www.smzgmbh.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Herstellung von Werkzeugen;n/a;n/a;n/a;n/a
STEIN und BAYER GmbH;Hüttenwerkstrasse 9-11;66763;Dillingen;+49 (06831) 97460;info@steinundbayer.de;+49 (06831) 974699;www.steinundbayer.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Sanitätshäuser und Einzelhandel mit medizinischen und orthopädischen Artikeln;n/a;n/a;n/a;n/a
TH Transportgesellschaft mbH;Leidinger Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 18196, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Transporte, Güterbeförderung im Strassenverkehr;n/a;n/a;n/a;n/a
UC Umwelt Consulting GmbH;Dieselstrasse 8;66763;Dillingen;+49 (06831) 768820;a.hautz@ucgmbh.de;+49 (06831) 7688255;www.ucgmbh.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Unternehmensberatung, Unternehmensberater;n/a;n/a;n/a;n/a
Volkshochschule Dillingen e.V.;De-Lenoncourt-Strasse 5;66763;Dillingen;+49 (06831) 707009;info@vhs-dillingen.de;+49 (06831) 72964;www.vhs-dillingen.de;n/a;e.V.: Eingetragener Verein;Dillingen;n/a;n/a;n/a;Erwachsenenbildung und Unterricht;n/a;n/a;n/a;n/a
WPK Nutzfahrzeugteile GmbH;Jahnstrasse 15;66763;Dillingen;+49 (06831) 768840;info@wpk.biz;+49 (06831) 7688444;www.wpk.biz;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Handel mit Ersatzteilen und Zubehör für Autos, Nutzfahrzeuge, LKW etc.;n/a;n/a;n/a;n/a
W + ST Bommersbach, Ganster + Kollegen Steuerberatungsgesellschaft mbH;Münchener Strasse 3;66763;Dillingen;+49 (06831) 98760;kanzlei@wstboga.de;+49 (06831) 73040;www.wstboga.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Steuerberater und Steuerberatungsgesellschaften;n/a;n/a;n/a;n/a
194. VVG Dillingen GmbH + Co. KG;Münchener Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRA 10766, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
195. VVG Dillingen GmbH + Co. KG;Münchener Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRA 10767, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
196. VVG Dillingen GmbH + Co. KG;Münchener Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRA 10768, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BRETEX Ersatzteilvertrieb GmbH;Dieselstrasse 30;66763;Dillingen;+49 (06831) 704055;bretex-gmbh@t-online.de;+49 (06831) 704057;n/a;HRB 24944, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Handel mit Ersatzteilen und Zubehör für Autos, Nutzfahrzeuge, LKW etc.;n/a;n/a;n/a;n/a
Büro und Object Dillingen GmbH;Röntgenstrasse 10;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19641, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Eissportcenter Folz GmbH;Konrad-Adenauer-Allee 5;66763;Dillingen;+49 (06831) 9458767;j-fi@t-online.de;+49 (06831) 1270561;n/a;HRB 13923, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Betrieb von Stadien und Sportanlagen;n/a;n/a;n/a;n/a
Gamehoster UG (haftungsbeschränkt);Am Fürstenwald 2;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19054, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;2010;n/a;n/a;n/a;n/a;n/a;n/a;n/a
GASTRO Handel Biesel GmbH;Dieselstrasse 3;66763;Dillingen;+49 (06831) 489680;kelter@t-online.de;+49 (06831) 4896812;n/a;HRB 13109, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Grosshandel mit Nahrungsmitteln, a.n.g.;n/a;n/a;n/a;n/a
Gläser + Jung GmbH;Brückenstrasse 72 a;66763;Dillingen;+49 (06831) 769733;glaeser-jung@arcor.de;+49 (06831) 769734;n/a;HRB 26468, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Kühlhäuser;n/a;n/a;n/a;n/a
HTN Service GmbH;Friedrichstrasse 16;66763;Dillingen;+49 (06831) 4996213;n/a;n/a;n/a;HRB 17950, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
HW Bau GmbH;Berliner Strasse 6;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19916, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;n/a
K + K Consulting GmbH;Brühlstrasse 2;66763;Dillingen;+49 (06831) 701225;n/a;n/a;n/a;HRB 17039, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
LANDFRISCH GmbH;Fischerstrasse 109;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 16286, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;Götz, Wolfgang, Überherrn;n/a;n/a;n/a;n/a;n/a
maler Gier GmbH;Neustrasse 29;66763;Dillingen;+49 (06831) 73539;maler-gier@t-online.de;+49 (06831) 703575;n/a;HRB 23609, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Maler und Lackierer;n/a;n/a;n/a;n/a
Mess- und Regeltechnik Jücker GmbH;Dieselstrasse 52-54;66763;Dillingen;+49 (06831) 9095 0;n/a;n/a;n/a;HRB 17176, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
M+K Beteiligungsgesellschaft mbH;Hemmersdorfer Strasse 14;66763;Dillingen;+49 (06831) 97320;info@bms-baustoffe.de;+49 (06831) 973299;www.bms-baustoffe.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Holding- und Beteiligungsgesellschaften;n/a;n/a;n/a;n/a
P + M UG (haftungsbeschränkt);Nalbacher Strasse 100;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 19487, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;2011;n/a;n/a;n/a;n/a;n/a;n/a;n/a
PPS Werbeschmiede GmbH;Bruchweg 22;66763;Dillingen;+49 (06831) 4876714;n/a;n/a;n/a;HRB 17521, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Projektgesellschaft Dillingen mbH;Merziger Strasse 51;66763;Dillingen;+49 (0681) 9965356;bwupper@leg-saar.de;+49 (0681) 9965206;n/a;HRB 15263, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Öffentliche Verwaltung;n/a;n/a;n/a;n/a
Pyrum Innovations ESC GmbH;Dieselstrasse 8;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 17282, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
R + R Immobilien Ruppenthal-Nalbach GmbH + Co. KG;Magnolienweg 38;66763;Dillingen;+49 (06831) 72717;immobilien-ruppenthal@t-online.de;+49 (06831) 72738;n/a;HRA 9390, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Immobilien-Vermittlung für Dritte;n/a;n/a;n/a;n/a
Verpachtungsgesellschaft Leuchtle GmbH + Co. KG;Feldstrasse 32;66763;Dillingen;+49 (06831) 97890;r.leuchtle@glas-leuchtle.de;+49 (06831) 71940;n/a;HRA 21782, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Dienstleistungen a.n.g.;n/a;n/a;n/a;n/a
V + S Prüfservice UG (haftungsbeschränkt);Odilienplatz 3;66763;Dillingen;n/a;n/a;n/a;n/a;HRB 100113, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Dillingen;2012;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Deutsches Rotes Kreuz Ortsverein Dillingen Saar e.V.;Dr.-Prior-Strasse 1;66763;Dillingen;+49 (06831) 709221;info@drk-dillingen.de;n/a;www.drk-dillingen.de;n/a;e.V.: Eingetragener Verein;Dillingen;n/a;n/a;n/a;Freie Wohlfahrtspflege und Jugendhilfe;n/a;n/a;n/a;n/a
Dienst- + Versorgungsleistungen Senioren-Palais Saarpark GmbH;Brückenstrasse 74;66763;Dillingen;+49 (06831) 768200;info@senioren-palais.de;n/a;www.senioren-palais.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Kantinen;n/a;n/a;n/a;n/a
Erwin Lauer Vermögensverwaltung GmbH + Co. KG;Brühlstrasse 4;66763;Dillingen;+49 (06831) 71578;n/a;n/a;n/a;HRA 10317, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Öffentliche Verwaltung;n/a;n/a;n/a;n/a
GVV St. Martin GmbH + Co. KG;Münchener Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRA 40502, Amtsgericht Wittlich;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Sonstige wirtschaftliche Dienstleistungen;n/a;n/a;n/a;n/a
Immobilienfonds Münchener Strasse GmbH + Co. KG;Münchener Strasse 1;66763;Dillingen;n/a;n/a;n/a;n/a;HRA 10318, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Dillingen;n/a;n/a;n/a;Börsen (Effektenbörsen und Warenbörsen);n/a;n/a;n/a;n/a
Oel und Farben Brück GmbH;Merziger Strasse 270;66763;Dillingen;+49 (06831) 71058;n/a;n/a;n/a;HRB 23575, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Herstellung von Farben, Lacken, Druckfarben und Kitten;n/a;DE137859428;n/a;n/a
OPTICUM Holger Ackermann OHG;Hüttenbergstrasse 24;66763;Dillingen;+49 (06831) 71188;info@opticum-saar.de;n/a;www.opticum-saar.de;n/a;OHG: Offene Handelsgesellschaft;Dillingen;n/a;n/a;n/a;Grosshandel mit Kameras, Fotozubehör, Brillen, Kontaktlinsen sowie feinmechanischen und optischen Geräten;n/a;n/a;n/a;n/a
P.D. Industriemontagen GmbH;Theresienstrasse 33;66763;Dillingen;+49 (06831) 986100;n/a;n/a;n/a;HRB 25851, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Dillingen;n/a;n/a;n/a;Dampfkessel-Herstellung;n/a;DE186346471;n/a;n/a
St. Josef Apotheke Sandra Radke e.K.;Dillinger Strasse 59;66763;Dillingen;+49 (06831) 89300055;n/a;n/a;n/a;HRA 10353, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Dillingen;n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
