,company_name,rating,reviews,salaries,jobs,location,size,industry,description
165,PENNY,3.2,"{'url': '/Reviews/PENNY-Reviews-E39716.htm', 'count': '319'}","{'url': '/Salary/PENNY-Salaries-E39716.htm', 'count': '14'}","{'url': '/Jobs/PENNY-Jobs-E39716.htm', 'count': '7.9K'}",Saarland,10000+ Employees,Grocery Stores,"The good folks at Penny Markt don't want you to stay long. A subsidiary of the German grocery giant REWE-Zentral, the discount grocery chain specializes in providing a quick and efficient shopping experience, while providing all the quality goods European shoppers have come to expect. With some 2,000 locations in Germany, and another 900 in Austria, the Czech Republic, Hungary, and Romania, Penny offers a full line of grocery products at discount prices, including fruit and vegetables, bread, baked goods, meats, and dairy items. The growing company is looking to expand into new markets, including Italy."
166,Nordgetreide,2.7,"{'url': '/Reviews/Nordgetreide-Reviews-E1118598.htm', 'count': '3'}","{'url': '/Salary/Nordgetreide-Salaries-E1118598.htm', 'count': '1'}","{'url': '/Jobs/Nordgetreide-Jobs-E1118598.htm', 'count': '47'}",Saarland,201 to 500 Employees,N/A,
167,Schaeffler,3.8,"{'url': '/Reviews/Schaeffler-Reviews-E239279.htm', 'count': '1.9K'}","{'url': '/Salary/Schaeffler-Salaries-E239279.htm', 'count': '979'}","{'url': '/Jobs/Schaeffler-Jobs-E239279.htm', 'count': '277'}",Saarland,10000+ Employees,Machinery Manufacturing,"Schaeffler Group – We pioneer motion

As a leading global supplier to the automotive and industrial sectors, the Schaeffler Group has been driving forward groundbreaking inventions and developments in the fields of motion and mobility for over 75 years. With innovative technologies, products, and services for electric mobility, CO₂-efficient drives, chassis solutions, Industry 4.0, digitalization, and renewable energies, the company is a reliable partner for making motion and mobility more efficient, intelligent, and sustainable – over the entire life cycle. The technology company manufactures high-precision components and systems for powertrain and chassis applications as well as rolling and plain bearing solutions for a large number of industrial applications. The Schaeffler Group generated sales of EUR 15.8 billion in 2022. With around 84,000 employees, Schaeffler is one of the world’s largest family companies. With more than 1,250 patent applications in 2022, Schaeffler is Germany’s fourth most innovative company according to the DPMA (German Patent and Trade Mark Office)."
168,"Ministerium für Bildung, Wissenschaft, Weiterbildung und Kultur",5.0,"{'url': '/Reviews/Ministerium-f%C3%BCr-Bildung-Wissenschaft-Weiterbildung-und-Kultur-Reviews-E1118145.htm', 'count': '2'}","{'url': '/Salary/Ministerium-f%C3%BCr-Bildung-Wissenschaft-Weiterbildung-und-Kultur-Salaries-E1118145.htm', 'count': '--'}","{'url': '/Jobs/Ministerium-f%C3%BCr-Bildung-Wissenschaft-Weiterbildung-und-Kultur-Jobs-E1118145.htm', 'count': '--'}",Saarland,Unknown,N/A,
169,Brück,3.6,"{'url': '/Reviews/Br%C3%BCck-Reviews-E1112468.htm', 'count': '3'}","{'url': '/Salary/Br%C3%BCck-Salaries-E1112468.htm', 'count': '--'}","{'url': '/Jobs/Br%C3%BCck-Jobs-E1112468.htm', 'count': '2'}",Saarland,501 to 1000 Employees,N/A,
170,Karlsberg Brauerei,3.6,"{'url': '/Reviews/Karlsberg-Brauerei-Reviews-E935327.htm', 'count': '3'}","{'url': '/Salary/Karlsberg-Brauerei-Salaries-E935327.htm', 'count': '--'}","{'url': '/Jobs/Karlsberg-Brauerei-Jobs-E935327.htm', 'count': '9'}",Saarland,1001 to 5000 Employees,Food & Beverage Stores,
171,PIKON,2.8,"{'url': '/Reviews/PIKON-Reviews-E1312462.htm', 'count': '2'}","{'url': '/Salary/PIKON-Salaries-E1312462.htm', 'count': '--'}","{'url': '/Jobs/PIKON-Jobs-E1312462.htm', 'count': '16'}",Saarland,51 to 200 Employees,N/A,
172,levoBank,3.0,"{'url': '/Reviews/levoBank-Reviews-E3278209.htm', 'count': '2'}","{'url': '/Salary/levoBank-Salaries-E3278209.htm', 'count': '--'}","{'url': '/Jobs/levoBank-Jobs-E3278209.htm', 'count': '--'}",Saarland,51 to 200 Employees,N/A,
173,HORNBACH,3.8,"{'url': '/Reviews/HORNBACH-Reviews-E513295.htm', 'count': '158'}","{'url': '/Salary/HORNBACH-Salaries-E513295.htm', 'count': '1'}","{'url': '/Jobs/HORNBACH-Jobs-E513295.htm', 'count': '1K'}",Saarland,10000+ Employees,Home Furniture & Housewares Stores,
174,MSD,4.2,"{'url': '/Reviews/MSD-Reviews-E550581.htm', 'count': '2.5K'}","{'url': '/Salary/MSD-Salaries-E550581.htm', 'count': '382'}","{'url': '/Jobs/MSD-Jobs-E550581.htm', 'count': '923'}",Saarland,10000+ Employees,Biotech & Pharmaceuticals,"At MSD, known as Merck & Co., Inc., Kenilworth, NJ, USA in the United States and Canada, we are unified around our purpose: We use the power of leading-edge science to save and improve lives around the world. For more than a century, we’ve been at the forefront of research, bringing forward medicines, vaccines and innovative health solutions for the world’s most challenging diseases."
175,Sparkasse Saarbrücken,3.1,"{'url': '/Reviews/Sparkasse-Saarbr%C3%BCcken-Reviews-E4198234.htm', 'count': '2'}","{'url': '/Salary/Sparkasse-Saarbr%C3%BCcken-Salaries-E4198234.htm', 'count': '--'}","{'url': '/Jobs/Sparkasse-Saarbr%C3%BCcken-Jobs-E4198234.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
176,BBGS,2.9,"{'url': '/Reviews/BBGS-Reviews-E6105590.htm', 'count': '4'}","{'url': '/Salary/BBGS-Salaries-E6105590.htm', 'count': '1'}","{'url': '/Jobs/BBGS-Jobs-E6105590.htm', 'count': '--'}",Saarland,51 to 200 Employees,N/A,
177,Hunkemöller,3.4,"{'url': '/Reviews/Hunkem%C3%B6ller-Reviews-E1065379.htm', 'count': '395'}","{'url': '/Salary/Hunkem%C3%B6ller-Salaries-E1065379.htm', 'count': '3'}","{'url': '/Jobs/Hunkem%C3%B6ller-Jobs-E1065379.htm', 'count': '704'}",Saarland,5001 to 10000 Employees,Other Retail Stores,"We’ve come a long way. From a single store, Hunkem&ouml;ller is now an international, omnichannel brand, a household name in 18 countries and northern Europe’s undisputed leader in lingerie. We’re Germany’s largest specialised chain and we’re big and getting bigger in Austria, Denmark, Spain, France and Sweden. Thanks to our ‘one team’ way of working with our franchisees and business partners, Hunkem&ouml;ller’s success story will deliver a €440m ($500m) business and the best profitto-sales ratio in our market. It’s also secured many industry awards, including the 2014 Retail Award for best lingerie chain in the Netherlands – for the eighth year in a row – and in Belgium, Germany, Spain and France too.  Our significant sales and EBITDA growth have been achieved via a combination of market-leading product development, an inspiring customer journey, passionate staff delivering world-class service and clever use of new technology and social media to build lifetime loyalty."
178,Dr. Theiss Naturwaren,2.8,"{'url': '/Reviews/Dr-Theiss-Naturwaren-Reviews-E935082.htm', 'count': '4'}","{'url': '/Salary/Dr-Theiss-Naturwaren-Salaries-E935082.htm', 'count': '--'}","{'url': '/Jobs/Dr-Theiss-Naturwaren-Jobs-E935082.htm', 'count': '8'}",Saarland,1001 to 5000 Employees,Health Care Products Manufacturing,
179,Amer Sports,3.6,"{'url': '/Reviews/Amer-Sports-Reviews-E10378.htm', 'count': '153'}","{'url': '/Salary/Amer-Sports-Salaries-E10378.htm', 'count': '88'}","{'url': '/Jobs/Amer-Sports-Jobs-E10378.htm', 'count': '45'}",Saarland,5001 to 10000 Employees,Consumer Product Manufacturing,"Amer Sports is a sporting goods company with internationally recognized brands including Salomon, Wilson, Atomic, Arc’teryx, Mavic, Suunto and Precor.

The company’s technically advanced sports equipment, footwear, apparel and accessories improve performance and increase the enjoyment of sports and outdoor activities. Amer Sports shares are listed on the Nasdaq Helsinki stock exchange.

Amer Sports’ business is balanced through its broad portfolio of sports and products and a presence in all major markets. The offering of sports equipment, apparel, footwear, and accessories covers a wide range of sports, including tennis, badminton, golf, American football, soccer, baseball, basketball, alpine skiing, snowboarding, cross-country skiing, fitness training, cycling, running, hiking, and diving.
"
180,Festo,4.1,"{'url': '/Reviews/Festo-Reviews-E41156.htm', 'count': '718'}","{'url': '/Salary/Festo-Salaries-E41156.htm', 'count': '187'}","{'url': '/Jobs/Festo-Jobs-E41156.htm', 'count': '77'}",Saarland,10000+ Employees,Machinery Manufacturing,"Festo AG provides a variety of pneumatic and electrical automation technologies for mechanical engineering tasks. The company's products include valves, valve terminals, handling and assembly technology, drives, sensors, vacuum technology, and bus systems. Festo AG serves more than 300,000 customers in over 175 countries in the electronics, automotive, and food and packaging industries, among others. The company employs about 200 R&D engineers and operates from more than 250 branch offices; it also offers training courses, seminars, e-learning, and consulting services. Festo AG provides catalogues in more than 20 languages. The company was established in 1925."
181,SYBCOM,2.0,"{'url': '/Reviews/SYBCOM-Reviews-E2017231.htm', 'count': '2'}","{'url': '/Salary/SYBCOM-Salaries-E2017231.htm', 'count': '--'}","{'url': '/Jobs/SYBCOM-Jobs-E2017231.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
182,ZENNER,3.9,"{'url': '/Reviews/ZENNER-Reviews-E2367129.htm', 'count': '4'}","{'url': '/Salary/ZENNER-Salaries-E2367129.htm', 'count': '7'}","{'url': '/Jobs/ZENNER-Jobs-E2367129.htm', 'count': '3'}",Saarland,1001 to 5000 Employees,Electronics Manufacturing,
183,Saarland University,4.2,"{'url': '/Reviews/Saarland-University-Reviews-E219544.htm', 'count': '165'}","{'url': '/Salary/Saarland-University-Salaries-E219544.htm', 'count': '2'}","{'url': '/Jobs/Saarland-University-Jobs-E219544.htm', 'count': '42'}",Saarland,1001 to 5000 Employees,Colleges & Universities,"Saarland University is a modern university within the Saar-Lor-Lux region – a dynamic part of Europe defined by the shared borders between Germany, France and Luxembourg. An international perspective has been a defining feature of Saarland University ever since it was established in cooperation with France in 1948. Today, 18.500 young people are studying in Saarbrücken and Homburg (faculty of medicine), 16 per cent of whom are international students. Located in a pleasant woodland setting, the university campus offers students and researchers a broad range of sporting and cultural activities, which together with the numerous cafés and restaurants make the campus an ideal place to relax between lectures or after work. And thanks to the high-speed ICE train link it takes only two hours to travel from Saarbrücken to Paris."
184,Bauhaus,3.6,"{'url': '/Reviews/Bauhaus-Reviews-E591685.htm', 'count': '170'}","{'url': '/Salary/Bauhaus-Salaries-E591685.htm', 'count': '14'}","{'url': '/Jobs/Bauhaus-Jobs-E591685.htm', 'count': '2K'}",Saarland,1001 to 5000 Employees,Home Furniture & Housewares Stores,
185,moltomedia,5.0,"{'url': '/Reviews/moltomedia-Reviews-E2363061.htm', 'count': '1'}","{'url': '/Salary/moltomedia-Salaries-E2363061.htm', 'count': '--'}","{'url': '/Jobs/moltomedia-Jobs-E2363061.htm', 'count': '4'}",Saarland,1 to 50 Employees,Information Technology Support Services,
186,TÜV NORD GROUP,3.7,"{'url': '/Reviews/T%C3%9CV-NORD-GROUP-Reviews-E529675.htm', 'count': '233'}","{'url': '/Salary/T%C3%9CV-NORD-GROUP-Salaries-E529675.htm', 'count': '8'}","{'url': '/Jobs/T%C3%9CV-NORD-GROUP-Jobs-E529675.htm', 'count': '492'}",Saarland,10000+ Employees,Security & Protective,"Over all its diversified areas of activity, TÜV NORD GROUP’s corporate philosophy remains based on its original values of independence and integrity. Firmly anchored in its guiding corporate principles, these standards are practised both internally and externally every single day. Our unique philosophy of combining technological expertise, personal integrity and value-based corporate culture means customers trust TÜV NORD GROUP and its ability to support and guide them safely towards the future."
187,Landesbank Saar,2.9,"{'url': '/Reviews/Landesbank-Saar-Reviews-E934074.htm', 'count': '5'}","{'url': '/Salary/Landesbank-Saar-Salaries-E934074.htm', 'count': '--'}","{'url': '/Jobs/Landesbank-Saar-Jobs-E934074.htm', 'count': '--'}",Saarland,501 to 1000 Employees,N/A,"Die SaarLB is the Franco-German regional bank.

For both countries, we offer cross-border knowledge of markets, business practices and legal norms. Our roots lie in Saarland (and its surrounding areas in Germany) as well as in neighbouring France, particularly in Alsace-Lorraine. We see outstanding future opportunities in this region thanks to with its excellent European composition.

It concentrates on small and medium-sized enterprises (SMEs).
We serve corporate customers, real estate investors and project financing (particularly for renewable energies), high net worth individuals and institutionals. We cultivate partnerships on equal terms and offer our customers focussed financial services."
188,IDS Scheer,3.9,"{'url': '/Reviews/IDS-Scheer-Reviews-E12947.htm', 'count': '15'}","{'url': '/Salary/IDS-Scheer-Salaries-E12947.htm', 'count': '23'}","{'url': '/Jobs/IDS-Scheer-Jobs-E12947.htm', 'count': '--'}",Saarland,1001 to 5000 Employees,Information Technology Support Services,"IDS Scheer has ideas about business processes. The company offers software and consulting services designed to improve business processes such as supply chain and customer relationship management, e-business transitions, and software implementation. Corporate and government clients use its ARIS business process management (BPM) software to analyze and model business processes to increase efficiency. The company provides industry-specific consulting and products for the packaged goods, chemical, metals, and textile industries, among others. IDS Scheer counts ABB, BMW, Commerzbank, and Lufthansa among its clients. The company agreed to be acquired by Germany-based Software AG for $668 million."
189,GRG Die Gebäudereiniger,2.7,"{'url': '/Reviews/GRG-Die-Geb%C3%A4udereiniger-Reviews-E934829.htm', 'count': '14'}","{'url': '/Salary/GRG-Die-Geb%C3%A4udereiniger-Salaries-E934829.htm', 'count': '--'}","{'url': '/Jobs/GRG-Die-Geb%C3%A4udereiniger-Jobs-E934829.htm', 'count': '311'}",Saarland,1001 to 5000 Employees,Building & Personnel Services,
190,Statement,2.5,"{'url': '/Reviews/Statement-Reviews-E1364191.htm', 'count': '2'}","{'url': '/Salary/Statement-Salaries-E1364191.htm', 'count': '1'}","{'url': '/Jobs/Statement-Jobs-E1364191.htm', 'count': '2'}",Saarland,1 to 50 Employees,N/A,
191,Saarland-Heilstätten,4.4,"{'url': '/Reviews/Saarland-Heilst%C3%A4tten-Reviews-E930614.htm', 'count': '3'}","{'url': '/Salary/Saarland-Heilst%C3%A4tten-Salaries-E930614.htm', 'count': '--'}","{'url': '/Jobs/Saarland-Heilst%C3%A4tten-Jobs-E930614.htm', 'count': '--'}",Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,
192,McDonald's,3.5,"{'url': '/Reviews/McDonald-s-Reviews-E432.htm', 'count': '118.6K'}","{'url': '/Salary/McDonald-s-Salaries-E432.htm', 'count': '72.5K'}","{'url': '/Jobs/McDonald-s-Jobs-E432.htm', 'count': '85.8K'}",Saarland,10000+ Employees,Restaurants & Cafes,"McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries and billions of customers served each year.  As the global leader in the food service industry, we have a legacy of innovation and hard work that continues to drive us. Today, we are growing with velocity and are focused on modernizing our experiences, not to make a different McDonald’s but to build a better McDonald’s. About 80% of the restaurants are run by franchisees or affiliates."
193,Barmenia Versicherungen,3.6,"{'url': '/Reviews/Barmenia-Versicherungen-Reviews-E933184.htm', 'count': '29'}","{'url': '/Salary/Barmenia-Versicherungen-Salaries-E933184.htm', 'count': '--'}","{'url': '/Jobs/Barmenia-Versicherungen-Jobs-E933184.htm', 'count': '346'}",Saarland,1001 to 5000 Employees,Insurance Carriers,
194,KÜS,3.6,"{'url': '/Reviews/K%C3%9CS-Reviews-E932806.htm', 'count': '5'}","{'url': '/Salary/K%C3%9CS-Salaries-E932806.htm', 'count': '--'}","{'url': '/Jobs/K%C3%9CS-Jobs-E932806.htm', 'count': '1'}",Saarland,501 to 1000 Employees,N/A,
195,STEAG,3.8,"{'url': '/Reviews/STEAG-Reviews-E3210517.htm', 'count': '7'}","{'url': '/Salary/STEAG-Salaries-E3210517.htm', 'count': '--'}","{'url': '/Jobs/STEAG-Jobs-E3210517.htm', 'count': '--'}",Saarland,Unknown,N/A,
196,Nestlé Wagner ,5.0,"{'url': '/Reviews/Nestl%C3%A9-Wagner-Reviews-E5554452.htm', 'count': '2'}","{'url': '/Salary/Nestl%C3%A9-Wagner-Salaries-E5554452.htm', 'count': '--'}","{'url': '/Jobs/Nestl%C3%A9-Wagner-Jobs-E5554452.htm', 'count': '--'}",Saarland,1001 to 5000 Employees,N/A,
197,CompuGroup Medical,3.2,"{'url': '/Reviews/CompuGroup-Medical-Reviews-E802232.htm', 'count': '211'}","{'url': '/Salary/CompuGroup-Medical-Salaries-E802232.htm', 'count': '38'}","{'url': '/Jobs/CompuGroup-Medical-Jobs-E802232.htm', 'count': '18'}",Saarland,5001 to 10000 Employees,Information Technology Support Services,"CompuGroup Medical AG is one of the leading eHealth companies in the world. CGM’s software products are designed to support all medical and organizational activities in doctors’ offices and hospitals. Its information solutions utilizing web-based personal health records are applied across all areas of medicine and contribute to safer and more efficient healthcare.

The group consists of companies specializing in the production of cutting-edge technology solutions for physicians and patients, combining modern communication technologies, software engineering and medical equipment. Many years of experience, flexibility and financial stability are the reasons why CompuGroup Medical tools are currently used by nearly 400,000 doctors and dentists from 55 countries. CGM operates in 14 European countries, Saudi Arabia and the U.S. and currently employs over 5.000  employees."
198,SPIE,3.6,"{'url': '/Reviews/SPIE-Reviews-E10355.htm', 'count': '774'}","{'url': '/Salary/SPIE-Salaries-E10355.htm', 'count': '26'}","{'url': '/Jobs/SPIE-Jobs-E10355.htm', 'count': '2.7K'}",Saarland,10000+ Employees,Architectural & Engineering Services,"As the independent European leader in multi-technical services in the areas of energy and communications, SPIE supports its customers to design, build, operate and maintain energy-efficient and environmentally-friendly facilities.
 
With more than 46,400 employees and a strong local presence, SPIE achieved in 2018 consolidated revenues of €6.7 billion and consolidated EBITA of €400 million."
199,Peugeot,3.7,"{'url': '/Reviews/Peugeot-Reviews-E3500.htm', 'count': '353'}","{'url': '/Salary/Peugeot-Salaries-E3500.htm', 'count': '10'}","{'url': '/Jobs/Peugeot-Jobs-E3500.htm', 'count': '61'}",Saarland,5001 to 10000 Employees,Transportation Equipment Manufacturing,"Peugeot S.A. enjoys its space under L'Arc de Triomphe, besting rival Renault to claim the top spot in the battle for auto sales in France. Peugeot makes cars and light commercial vehicles under the Peugeot and Citroën brands. France's best-selling auto brand, Peugeot is among the top manufacturers in European passenger car and commercial vehicle sales. Also part of Peugeot's automotive division are Faurecia (auto parts), GEFCO (transportation and logistics), and Banque PSA Finance (financial services for dealers and customers). Other group products include motorbikes, scooters, and light-armored vehicles. Peugeot makes most of its sales in Europe. The Peugeot family controls more than 45% of the voting stock."
200,GAN,3.1,"{'url': '/Reviews/GAN-Reviews-E40188.htm', 'count': '49'}","{'url': '/Salary/GAN-Salaries-E40188.htm', 'count': '35'}","{'url': '/Jobs/GAN-Jobs-E40188.htm', 'count': '1'}",Saarland,501 to 1000 Employees,Enterprise Software & Network Solutions,"GAN is a technology company, well recognized for its innovative, award-winning platform, GameSTACK™, which allows operators to extend their brand to their on-property players at any time, in any place, and on any device. When a player leaves a property, GAN activates its proprietary digital platform to extend an operator’s brand by immersing the player in Play-For-Fun Simulated Gaming, Real Money iCasino, and Sportsbook experiences
wherever they go, to establish a 360-degree view of the player.

GAN’s universal platform and patented process deliver a competitive advantage, resulting in higher conversion rates, better payment processing success rates, cutting-edge Sports Betting modules, mature and fully-featured Simulated and Real-Money Internet casino, and the proven ability to deliver genuinely integrated convergence to leverage casino operators’ on-property rewards programs.

GAN is the leading platform with major real money Internet gambling clients, including FanDuel, Ocean Casino & Resort, Soaring Eagle Casino & Resort, Wynn, and Churchill Downs Incorporated. GAN also offers a U.S. market-leading B2B Social Casino solution branded ‘Simulated Gaming,’ which leverages existing Casino reward programs to offer casino patrons a Social Casino experience designed to generate incremental online revenue and drive visits to on-property venues. Native American operator clients of Simulated Gaming include San Manuel, Chickasaw Nation, Agua Caliente, Snoqualmie, Oneida Nation, Seneca Gaming Corporation, and Gila River.

GAN’s proprietary compliance program and continuous global monitoring system ensure its operator partners can move online with its trusted and proven technology platform, U.S.-patented framework, and reputable specialist teams. Additionally, GAN provides first-class managed services for Marketing (customer acquisition and retention) & Customer Service. Whether you’re interested in a fully-managed online gambling solution or looking to augment existing customer service and marketing programs, GAN’s dedicated operational services teams have the local and global experience to support those needs. GAN has a best-in-breed platform with a demonstrable track record of operating across multiple states, designed to ensure the success of our casino operator partners.

With live operations in Washington, California, Nevada, Arizona, New Mexico, Colorado, Oklahoma, Kansas, Iowa, Missouri, Louisiana, Michigan, Illinois, Indiana, Ohio, Tennessee, Mississippi, Alabama, West Virginia, Maryland, Pennsylvania, New Jersey, New York, Massachusetts, Rhode Island, and Maine, GAN is poised to bring many of America’s casinos online utilizing the enterprise technology system first deployed in 2002."
201,Saarland Versicherungen,3.0,"{'url': '/Reviews/Saarland-Versicherungen-Reviews-E6129191.htm', 'count': '1'}","{'url': '/Salary/Saarland-Versicherungen-Salaries-E6129191.htm', 'count': '--'}","{'url': '/Jobs/Saarland-Versicherungen-Jobs-E6129191.htm', 'count': '1'}",Saarland,501 to 1000 Employees,N/A,
202,Studienkreis,3.5,"{'url': '/Reviews/Studienkreis-Reviews-E931152.htm', 'count': '77'}","{'url': '/Salary/Studienkreis-Salaries-E931152.htm', 'count': '--'}","{'url': '/Jobs/Studienkreis-Jobs-E931152.htm', 'count': '24'}",Saarland,1001 to 5000 Employees,Primary & Secondary Schools,
203,Shell,4.1,"{'url': '/Reviews/Shell-Reviews-E5833.htm', 'count': '12.8K'}","{'url': '/Salary/Shell-Salaries-E5833.htm', 'count': '5.2K'}","{'url': '/Jobs/Shell-Jobs-E5833.htm', 'count': '1.4K'}",Saarland,10000+ Employees,Energy & Utilities,"We are a global group of energy and petrochemical companies located in more than 70 countries and territories. We use advanced technologies and innovative approaches to help build a sustainable energy future.  Our operations are divided into Upstream, Integrated Gas and New Energies, Downstream, and Projects & Technology. 

Our strategy to generate profitable growth remains to drive forward with our investment program, to deliver sustainable growth and provide competitive returns to shareholders, while helping to meet global energy demand in a responsible way.

Our goal is to find solutions that truly make a difference and change how we produce energy. We want to power lives by providing the world more energy, but with less CO2 emissions.

Our core values of honesty, integrity and respect for people form the basis of the Shell General Business Principles.  Discover more at http://www.shell.com/us/about/"
204,Dänisches Bettenlager,3.6,"{'url': '/Reviews/D%C3%A4nisches-Bettenlager-Reviews-E934232.htm', 'count': '84'}","{'url': '/Salary/D%C3%A4nisches-Bettenlager-Salaries-E934232.htm', 'count': '4'}","{'url': '/Jobs/D%C3%A4nisches-Bettenlager-Jobs-E934232.htm', 'count': '--'}",Saarland,10000+ Employees,Home Furniture & Housewares Stores,
205,Vergölst,2.3,"{'url': '/Reviews/Verg%C3%B6lst-Reviews-E935021.htm', 'count': '24'}","{'url': '/Salary/Verg%C3%B6lst-Salaries-E935021.htm', 'count': '--'}","{'url': '/Jobs/Verg%C3%B6lst-Jobs-E935021.htm', 'count': '352'}",Saarland,1001 to 5000 Employees,General Repair & Maintenance,
206,Procter & Gamble,4.1,"{'url': '/Reviews/Procter-and-Gamble-Reviews-E544.htm', 'count': '15.6K'}","{'url': '/Salary/Procter-and-Gamble-Salaries-E544.htm', 'count': '8.4K'}","{'url': '/Jobs/Procter-and-Gamble-Jobs-E544.htm', 'count': '1.2K'}",Saarland,10000+ Employees,Consumer Product Manufacturing,"P&amp;G was founded over 175 years ago as a soap and candle company. Today, we’re the world’s largest consumer goods company and home to iconic, trusted brands, including Always®, Charmin®, Duracell®, Fairy®, Febreze®, Gillette®, Head &amp; Shoulders®, Oral B®, Pantene®, Pampers®, Tide®, and Vicks®.

The design, development, growth and success of these products—and many more—is thanks to the innovative and insightful minds of our people. From Day One, you’ll help make everyday life easier for our 5 billion customers through billion dollar brands. And as our customers are found around the globe, so too are our opportunities: wherever you are in the world, there will be a place for you with P&amp;G nearby.

We offer opportunities in approximately 70 countries and continually aim to attract, reward and advance the finest people in the world. As a ""build from within"" organization, we see 95% of our people start at an entry level and progress through the organization. Here, we want you to get your career off to a fast start. That's why we don't have any rotational development programs or gradual ramping-up periods: you’ll be able—and encouraged—to dive right in from day one.

Join us and help make life better through meaningful work that makes an impact from Day One."
207,Randstad,3.9,"{'url': '/Reviews/Randstad-Reviews-E302306.htm', 'count': '8.7K'}","{'url': '/Salary/Randstad-Salaries-E302306.htm', 'count': '4K'}","{'url': '/Jobs/Randstad-Jobs-E302306.htm', 'count': '117.6K'}",Saarland,501 to 1000 Employees,HR Consulting,"We are the global leader in the HR services industry and specialized in solutions in the field of flexible work and HR services. By combining our passion for people with the power of today’s intelligent machines, we support people and organizations to realize their true potential."
208,Vodafone,4.0,"{'url': '/Reviews/Vodafone-Reviews-E5775.htm', 'count': '16K'}","{'url': '/Salary/Vodafone-Salaries-E5775.htm', 'count': '379'}","{'url': '/Jobs/Vodafone-Jobs-E5775.htm', 'count': '4.6K'}",Saarland,10000+ Employees,Telecommunications Services,"Here at Vodafone, we do amazing things to empower everybody to be confidently connected, and that could be providing superfast network speeds to smartphones, providing ‘total communications’ through fixed line solutions, making farmers lives easier with mobile money payments or streaming music into a car through the internet of things. As you can imagine, this means that we have a vibrant and diverse mix of skills and people that makes us a great place to work."
209,Eurofins,3.1,"{'url': '/Reviews/Eurofins-Reviews-E6488881.htm', 'count': '604'}","{'url': '/Salary/Eurofins-Salaries-E6488881.htm', 'count': '503'}","{'url': '/Jobs/Eurofins-Jobs-E6488881.htm', 'count': '20'}",Saarland,10000+ Employees,Health Care Products Manufacturing,
210,Data One,4.5,"{'url': '/Reviews/Data-One-Reviews-E1305291.htm', 'count': '5'}","{'url': '/Salary/Data-One-Salaries-E1305291.htm', 'count': '1'}","{'url': '/Jobs/Data-One-Jobs-E1305291.htm', 'count': '9'}",Saarland,51 to 200 Employees,N/A,
211,FEAG,3.6,"{'url': '/Reviews/FEAG-Reviews-E933575.htm', 'count': '8'}","{'url': '/Salary/FEAG-Salaries-E933575.htm', 'count': '--'}","{'url': '/Jobs/FEAG-Jobs-E933575.htm', 'count': '23'}",Saarland,501 to 1000 Employees,N/A,
212,Globus,3.6,"{'url': '/Reviews/Globus-Reviews-E897037.htm', 'count': '110'}","{'url': '/Salary/Globus-Salaries-E897037.htm', 'count': '2'}","{'url': '/Jobs/Globus-Jobs-E897037.htm', 'count': '527'}",Saarland,Unknown,General Merchandise & Superstores,
213,Deutsche Hochschule für Prävention und Gesundheitsmanagement,4.0,"{'url': '/Reviews/Deutsche-Hochschule-f%C3%BCr-Pr%C3%A4vention-und-Gesundheitsmanagement-Reviews-E1113380.htm', 'count': '1'}","{'url': '/Salary/Deutsche-Hochschule-f%C3%BCr-Pr%C3%A4vention-und-Gesundheitsmanagement-Salaries-E1113380.htm', 'count': '--'}","{'url': '/Jobs/Deutsche-Hochschule-f%C3%BCr-Pr%C3%A4vention-und-Gesundheitsmanagement-Jobs-E1113380.htm', 'count': '1'}",Saarland,1 to 50 Employees,N/A,
214,IBS Personal-Management,4.0,"{'url': '/Reviews/IBS-Personal-Management-Reviews-E1169987.htm', 'count': '3'}","{'url': '/Salary/IBS-Personal-Management-Salaries-E1169987.htm', 'count': '--'}","{'url': '/Jobs/IBS-Personal-Management-Jobs-E1169987.htm', 'count': '178'}",Saarland,1001 to 5000 Employees,N/A,
215,Herweck,1.9,"{'url': '/Reviews/Herweck-Reviews-E1313343.htm', 'count': '3'}","{'url': '/Salary/Herweck-Salaries-E1313343.htm', 'count': '--'}","{'url': '/Jobs/Herweck-Jobs-E1313343.htm', 'count': '93'}",Saarland,201 to 500 Employees,N/A,
216,RAM,3.8,"{'url': '/Reviews/RAM-Reviews-E718792.htm', 'count': '373'}","{'url': '/Salary/RAM-Salaries-E718792.htm', 'count': '42'}","{'url': '/Jobs/RAM-Jobs-E718792.htm', 'count': '11'}",Saarland,51 to 200 Employees,Business Consulting,
217,Micado Migration gemeinnützige,4.0,"{'url': '/Reviews/Micado-Migration-gemeinn%C3%BCtzige-Reviews-E8701816.htm', 'count': '2'}","{'url': '/Salary/Micado-Migration-gemeinn%C3%BCtzige-Salaries-E8701816.htm', 'count': '--'}","{'url': '/Jobs/Micado-Migration-gemeinn%C3%BCtzige-Jobs-E8701816.htm', 'count': '--'}",Saarland,1 to 50 Employees,N/A,
